name,id,release_date,artists,total_tracks,t_name0,t_name1,t_name2,t_dur0,t_dur1,t_dur2,t_dance0,t_dance1,t_dance2,t_energy0,t_energy1,t_energy2,t_key0,t_key1,t_key2,t_mode0,t_mode1,t_mode2,t_speech0,t_speech1,t_speech2,t_acous0,t_acous1,t_acous2,t_ins0,t_ins1,t_ins2,t_live0,t_live1,t_live2,t_val0,t_val1,t_val2,t_tempo0,t_tempo1,t_tempo2,t_sig0,t_sig1,t_sig2,popularity
"""Fragtime"" Theme Song ""Fragile""",22352,2000,"Moritani Misuzu (CV:Miku Ito), Murakami Haruka (CV:Yume Miyamoto), ",4,Fragile,11:00a.m.,Fragile - Instrumental,292720,293760.0,292733.0,0.5489999999999999,0.623,0.519,0.5589999999999999,0.256,0.463,2.0,11.0,2.0,0.0,1.0,0.0,0.0256,0.038,0.0253,0.569,0.863,0.0774,0.0,7.99e-05,0.792,0.0503,0.11,0.0458,0.33,0.539,0.192,84.008,187.91,84.00200000000002,4.0,3.0,4.0,21
"""Green n' gold Hits""",106534,2011-09-16,"C.W.A. Cheeseheads With Attitude, ",12,"""Packer Face"" (Everybody Vince Lombardi)","""I Love Green Bay"" (Player Mix)","""Beer Wit Da Bret""",213760,181000.0,245973.0,0.871,0.7020000000000001,0.416,0.8540000000000001,0.893,0.889,4.0,11.0,9.0,1.0,0.0,1.0,0.042,0.0435,0.276,0.0479,0.0786,0.00488,1.12e-05,0.000225,0.0,0.0819,0.0687,0.107,0.965,0.7829999999999999,0.377,119.032,128.002,181.241,4.0,4.0,4.0,14
"""Zuhause Live: Das Laune der Natour-Finale"" plus ""Auf der Suche nach der Schnapsinsel: Live im SO36""",23608,2019-03-29,"Die Toten Hosen, ",59,Laune der Natur - das Intro - Live in Düsseldorf 2018,Opel-Gang - Live in Düsseldorf 2018,Auswärtsspiel - Live in Düsseldorf 2018,157124,130446.0,152450.0,0.289,0.328,0.234,0.936,0.995,0.997,10.0,11.0,6.0,0.0,1.0,0.0,0.0845,0.14800000000000002,0.128,0.271,0.000204,0.000195,0.0471,0.0,0.00828,0.841,0.959,0.594,0.579,0.0475,0.0945,84.01,127.755,99.284,4.0,4.0,4.0,41
#Gsnls,8655,2020-08-02,"Surf'n, ",8,Lock'n Legs,Capt'n Saven Em,Bloods & Crips,127896,176351.0,166968.0,0.8859999999999999,0.947,0.826,0.818,0.629,0.6940000000000001,7.0,8.0,11.0,1.0,1.0,1.0,0.0928,0.189,0.271,0.105,0.386,0.0767,0.0,0.0,0.0,0.18,0.152,0.688,0.624,0.384,0.6509999999999999,100.053,99.999,95.017,4.0,4.0,4.0,1
#Hektarparty,49670,2018-09-21,"Die Draufgänger, ",17,Die Hektar hat 2.0,Johnny Deere,Gina Lisa (Spiel mit deinen Glocken),210320,226253.0,211880.0,0.7240000000000001,0.7909999999999999,0.784,0.8270000000000001,0.737,0.921,5.0,5.0,5.0,1.0,0.0,0.0,0.0283,0.109,0.0445,0.0239,0.182,0.0929,0.0,0.0,8.35e-06,0.156,0.0592,0.149,0.84,0.665,0.52,128.041,132.013,135.969,4.0,4.0,4.0,47
#RB&BR,101988,2021-06-26,"Lil Xelly, ",5,#RB&BR,hoodrixh,Elm St 2,102862,121103.0,144008.0,0.715,0.667,0.619,0.528,0.6970000000000001,0.404,7.0,10.0,1.0,1.0,0.0,0.0,0.261,0.232,0.132,0.00131,0.422,0.000187,0.0,0.0,0.152,0.057,0.1,0.171,0.605,0.62,0.18600000000000005,133.066,127.196,135.028,4.0,4.0,4.0,5
#TBX,9136,2019-09-06,"Xcursion, ",7,All I Know,"Playa, Playa","Right Hand Man, Pt. 2",158720,249025.0,262243.0,0.599,0.617,0.649,0.67,0.588,0.655,1.0,1.0,1.0,1.0,0.0,1.0,0.258,0.299,0.355,0.0228,0.14,0.168,0.0,0.0,0.0,0.103,0.35700000000000004,0.265,0.585,0.359,0.299,94.132,85.434,88.02799999999998,4.0,4.0,4.0,5
#usa4tfd,141284,2019-07-12,"Total Fucking Destruction, ",23,Youth Apocalypse,Sideways In Time,Jesus Christ Poseur,36826,79013.0,89306.0,0.287,0.3,0.168,0.937,0.966,0.964,4.0,11.0,4.0,1.0,0.0,1.0,0.106,0.102,0.112,3.97e-06,4.12e-06,2.62e-06,0.262,0.8290000000000001,0.88,0.378,0.297,0.38,0.0653,0.495,0.158,99.02,96.066,96.205,4.0,4.0,4.0,3
(tu wpisz tytuł),28564,2013,"drewnofromlas, ",11,rulewna,waryński,2D,223506,191786.0,252360.0,0.485,0.51,0.62,0.718,0.746,0.706,11.0,11.0,2.0,0.0,0.0,1.0,0.0587,0.153,0.0288,0.0402,0.0919,0.389,0.00212,0.0295,0.123,0.097,0.159,0.0984,0.165,0.42,0.594,148.64600000000004,172.995,95.542,4.0,4.0,4.0,4
...Like Clockwork,14262,2013-06-03,"Queens of the Stone Age, ",10,Keep Your Eyes Peeled,I Sat by the Ocean,The Vampyre of Time and Memory,304160,235586.0,214586.0,0.494,0.516,0.551,0.7290000000000001,0.78,0.386,7.0,8.0,9.0,1.0,0.0,0.0,0.0446,0.0364,0.0274,0.105,0.00136,0.0856,0.457,0.000715,0.0022600000000000003,0.114,0.11,0.133,0.282,0.899,0.379,105.15,116.794,142.047,3.0,4.0,4.0,61
"10,000 Days",40378,2006-04-28,"TOOL, ",11,Vicarious,Jambi,Wings For Marie (Pt 1),426680,448613.0,371440.0,0.506,0.475,0.241,0.877,0.831,0.338,0.0,9.0,2.0,1.0,0.0,1.0,0.032,0.0505,0.0426,5.16e-05,0.000145,0.331,0.7759999999999999,0.8540000000000001,0.89,0.0712,0.34600000000000003,0.107,0.302,0.521,0.0362,114.589,110.42,92.517,5.0,3.0,4.0,65
"100 Workout Traxx, Electro, Club, House (Non-Stop Instrumental for Fitness)",101869,2016-03-05,"Xtx Productions, ",100,Play Hard (Instrumental Workout Remix),I Want You to Know (Instrumental Workout Remix),How Deep Is Your Love (Instrumental Workout Remix),320186,290906.0,290906.0,0.71,0.642,0.715,0.988,0.998,0.976,6.0,9.0,4.0,1.0,0.0,0.0,0.0489,0.0454,0.0443,0.00967,1.05e-05,0.00338,0.879,0.8320000000000001,0.861,0.132,0.0668,0.0893,0.929,0.7070000000000001,0.735,131.985,131.989,132.056,4.0,4.0,4.0,10
100 dni do matury,90738,2020-01-17,"Mata, ",18,Intro (do nauki),Biblioteka Trap,Piszę to na matmie,39773,215680.0,257399.0,0.5489999999999999,0.58,0.71,0.238,0.721,0.5,8.0,1.0,8.0,1.0,1.0,1.0,0.91,0.161,0.253,0.96,0.0937,0.5670000000000001,0.0,4.82e-06,0.000203,0.282,0.103,0.107,0.6940000000000001,0.155,0.439,168.08700000000005,73.683,100.025,1.0,4.0,4.0,67
100% Salsaton Gold,31191,2016-07-08,"KLC Clave Cubana, Danel Batista, Tirso Duarte, ",18,Salsa Nama,Con un Solo Pie (Remix),Dale Cintura,260141,205256.0,323918.0,0.785,0.737,0.8109999999999999,0.8290000000000001,0.949,0.887,6.0,2.0,7.0,0.0,1.0,1.0,0.0411,0.0478,0.0595,0.0685,0.273,0.34,0.0,3.88e-06,0.0,0.292,0.054000000000000006,0.139,0.574,0.511,0.8859999999999999,104.984,100.042,99.964,4.0,4.0,4.0,15
13ième apôtre,71021,2015-10-13,"Koffi Olomide, ",39,Selfie,Première dame,Chilamwina,239920,454133.0,438933.0,0.6579999999999999,0.621,0.56,0.887,0.701,0.8370000000000001,4.0,2.0,0.0,0.0,1.0,1.0,0.18600000000000005,0.127,0.185,0.3670000000000001,0.5870000000000001,0.596,4.99e-06,0.0,0.0,0.35700000000000004,0.0835,0.0704,0.799,0.777,0.8290000000000001,119.874,133.121,137.056,4.0,4.0,4.0,31
15 Exitos Del Recuerdo,52465,2016-02-02,"Polo Y Los Apson, ",15,Solo Un Sueno,El Ultimo Beso,Suena Dulce Nena,191786,166280.0,151120.0,0.474,0.67,0.557,0.34700000000000003,0.34,0.501,7.0,4.0,3.0,1.0,1.0,1.0,0.025,0.0486,0.0368,0.8029999999999999,0.8640000000000001,0.649,0.0,0.0,0.0,0.16399999999999998,0.318,0.231,0.397,0.7659999999999999,0.903,101.268,136.196,90.684,4.0,4.0,4.0,41
15 Years Of PRSPCT,145,2017-11-10,"Various Artists, ",12,Renegades,One for the Team,Alive,268794,356844.0,246956.0,0.423,0.583,0.517,0.955,0.871,0.994,1.0,1.0,1.0,1.0,1.0,1.0,0.307,0.21,0.19,0.00417,0.069,0.000185,0.000435,0.165,0.841,0.0847,0.0782,0.4370000000000001,0.17600000000000002,0.0481,0.325,87.029,175.076,173.893,4.0,4.0,4.0,20
18 Months,158012,2012-10-29,"Calvin Harris, ",15,Green Valley,Bounce (feat. Kelis) - Radio Edit,Feel So Close - Radio Edit,109106,222186.0,206413.0,0.483,0.779,0.7070000000000001,0.494,0.963,0.924,9.0,2.0,7.0,0.0,0.0,1.0,0.0509,0.0399,0.031,0.439,0.0334,0.000972,0.535,0.493,0.00703,0.0756,0.664,0.204,0.226,0.759,0.919,160.054,127.941,127.937,4.0,4.0,4.0,75
198XAD,66367,2014-05-16,"Mega Drive, ",14,Infiltrate,Acid Spit,NARC,80625,281342.0,283572.0,0.51,0.5770000000000001,0.555,0.893,0.932,0.8759999999999999,0.0,5.0,10.0,1.0,1.0,0.0,0.076,0.0537,0.209,0.0338,0.00282,0.085,0.901,0.917,0.848,0.7909999999999999,0.243,0.165,0.0353,0.419,0.361,128.007,127.986,107.998,4.0,4.0,4.0,41
1998,14566,2020-12-05,"Gtb Pondo, ",12,Heavy Hearted,Chop,Trials & Tribulations,118543,140042.0,186070.0,0.691,0.7170000000000001,0.6729999999999999,0.667,0.677,0.706,6.0,10.0,4.0,1.0,0.0,0.0,0.0876,0.436,0.3670000000000001,0.0699,0.0649,0.14400000000000002,0.0,0.0,0.0,0.138,0.343,0.274,0.24,0.59,0.753,90.224,110.622,172.09400000000005,4.0,5.0,4.0,5
2 Swords,236,2020-11-29,"BoofPaxkMooky, ",9,Ghost,Insidious,Outside,172225,155805.0,143592.0,0.588,0.442,0.6729999999999999,0.444,0.304,0.322,2.0,1.0,9.0,0.0,1.0,1.0,0.1,0.211,0.339,0.727,0.268,0.677,1.01e-05,0.0,1.56e-05,0.101,0.217,0.0915,0.126,0.282,0.353,111.828,87.258,137.4,4.0,5.0,4.0,42
20 Exitos,134144,2002,"Zafra Negra, ",20,Por Retenerte,Llorare,Ajena,280866,286560.0,274533.0,0.785,0.727,0.718,0.688,0.674,0.649,11.0,2.0,4.0,1.0,1.0,0.0,0.038,0.0517,0.0563,0.483,0.588,0.447,0.00586,0.000566,8.96e-06,0.45,0.277,0.0755,0.8809999999999999,0.926,0.7290000000000001,120.138,150.053,150.029,4.0,4.0,4.0,8
20 Jahre DJ Ötzi - Party ohne Ende,125476,2019-01-04,"DJ Ötzi, ",40,Bella Ciao - Silverjam RMX,I Want You To Want Me,Hotel Engel - Remastered 2019,179280,198226.0,223546.0,0.711,0.606,0.677,0.882,0.927,0.94,8.0,6.0,9.0,0.0,0.0,1.0,0.0453,0.0359,0.05,0.0506,0.00559,0.0189,0.0,3.22e-06,0.0,0.16,0.269,0.331,0.955,0.518,0.943,130.061,113.97,125.986,4.0,4.0,4.0,47
